Dec 15 16:59:18 	94.23MiB / 1.952GiB	4.71%	76.12%
Dec 15 16:59:20 	94.23MiB / 1.952GiB	4.71%	73.81%
Dec 15 16:59:23 	94.94MiB / 1.952GiB	4.75%	0.75%
Dec 15 16:59:25 	95.11MiB / 1.952GiB	4.76%	0.90%
Dec 15 16:59:27 	94.48MiB / 1.952GiB	4.73%	64.09%
Dec 15 16:59:29 	95.23MiB / 1.952GiB	4.76%	96.24%
Dec 15 16:59:31 	95MiB / 1.952GiB	4.75%	80.40%
Dec 15 16:59:33 	93.93MiB / 1.952GiB	4.70%	81.69%
Dec 15 16:59:35 	93.91MiB / 1.952GiB	4.70%	78.01%
Dec 15 16:59:37 	93.91MiB / 1.952GiB	4.70%	70.98%
Dec 15 16:59:39 	93.91MiB / 1.952GiB	4.70%	68.55%
Dec 15 16:59:41 	93.91MiB / 1.952GiB	4.70%	77.22%
Dec 15 16:59:44 	93.74MiB / 1.952GiB	4.69%	1.06%
Dec 15 16:59:46 	93.48MiB / 1.952GiB	4.68%	64.86%
Dec 15 16:59:48 	93.48MiB / 1.952GiB	4.68%	68.54%
Dec 15 16:59:50 	93.18MiB / 1.952GiB	4.66%	65.30%
Dec 15 16:59:52 	93.14MiB / 1.952GiB	4.66%	65.02%
Dec 15 16:59:54 	93.14MiB / 1.952GiB	4.66%	70.87%
Dec 15 16:59:56 	92.63MiB / 1.952GiB	4.63%	73.10%
Dec 15 16:59:58 	93.12MiB / 1.952GiB	4.66%	65.73%
Dec 15 17:00:01 	93.37MiB / 1.952GiB	4.67%	71.63%
Dec 15 17:00:03 	93.83MiB / 1.952GiB	4.69%	0.80%
Dec 15 17:00:05 	93.5MiB / 1.952GiB	4.68%	75.30%
Dec 15 17:00:07 	93.32MiB / 1.952GiB	4.67%	63.28%
Dec 15 17:00:09 	93.3MiB / 1.952GiB	4.67%	70.33%
Dec 15 17:00:11 	93.3MiB / 1.952GiB	4.67%	80.00%
Dec 15 17:00:13 	93.48MiB / 1.952GiB	4.68%	71.15%
Dec 15 17:00:15 	92.88MiB / 1.952GiB	4.65%	81.14%
Dec 15 17:00:17 	92.78MiB / 1.952GiB	4.64%	86.44%
Dec 15 17:00:20 	92.9MiB / 1.952GiB	4.65%	81.13%
Dec 15 17:00:22 	93.72MiB / 1.952GiB	4.69%	0.93%
Dec 15 17:00:24 	92.97MiB / 1.952GiB	4.65%	64.57%
Dec 15 17:00:26 	92.98MiB / 1.952GiB	4.65%	66.43%
Dec 15 17:00:28 	93.12MiB / 1.952GiB	4.66%	81.96%
Dec 15 17:00:30 	92.96MiB / 1.952GiB	4.65%	83.87%
Dec 15 17:00:32 	92.96MiB / 1.952GiB	4.65%	90.87%
Dec 15 17:00:34 	92.95MiB / 1.952GiB	4.65%	95.86%
Dec 15 17:00:37 	91.83MiB / 1.952GiB	4.59%	77.21%
Dec 15 17:00:39 	92.56MiB / 1.952GiB	4.63%	13.42%
Dec 15 17:00:41 	92.51MiB / 1.952GiB	4.63%	28.40%
Dec 15 17:00:43 	91.78MiB / 1.952GiB	4.59%	13.10%
Dec 15 17:00:45 	91.64MiB / 1.952GiB	4.58%	76.58%
Dec 15 17:00:47 	91.6MiB / 1.952GiB	4.58%	85.35%
Dec 15 17:00:49 	91.72MiB / 1.952GiB	4.59%	89.45%
Dec 15 17:00:51 	91.56MiB / 1.952GiB	4.58%	87.32%
Dec 15 17:00:53 	91.56MiB / 1.952GiB	4.58%	77.72%
Dec 15 17:00:56 	91.56MiB / 1.952GiB	4.58%	87.15%
Dec 15 17:00:58 	91.57MiB / 1.952GiB	4.58%	89.25%
Dec 15 17:01:00 	92.32MiB / 1.952GiB	4.62%	1.13%
Dec 15 17:01:02 	91.89MiB / 1.952GiB	4.60%	58.52%
Dec 15 17:01:04 	91.89MiB / 1.952GiB	4.60%	56.60%
Dec 15 17:01:06 	91.8MiB / 1.952GiB	4.59%	74.47%
Dec 15 17:01:08 	91.68MiB / 1.952GiB	4.59%	61.41%
Dec 15 17:01:10 	91.68MiB / 1.952GiB	4.59%	70.95%
Dec 15 17:01:12 	91.8MiB / 1.952GiB	4.59%	63.23%
Dec 15 17:01:14 	92.16MiB / 1.952GiB	4.61%	68.82%
Dec 15 17:01:17 	92.16MiB / 1.952GiB	4.61%	71.74%
Dec 15 17:01:19 	92.87MiB / 1.952GiB	4.65%	1.12%
Dec 15 17:01:21 	92.23MiB / 1.952GiB	4.61%	71.54%
Dec 15 17:01:23 	92.23MiB / 1.952GiB	4.61%	65.93%
Dec 15 17:01:25 	92.23MiB / 1.952GiB	4.61%	68.38%
Dec 15 17:01:27 	92.2MiB / 1.952GiB	4.61%	72.77%
Dec 15 17:01:29 	92.2MiB / 1.952GiB	4.61%	75.74%
Dec 15 17:01:31 	92.44MiB / 1.952GiB	4.62%	80.48%
Dec 15 17:01:33 	92.2MiB / 1.952GiB	4.61%	73.39%
Dec 15 17:01:36 	92.93MiB / 1.952GiB	4.65%	1.09%
Dec 15 17:01:38 	102.9MiB / 1.952GiB	5.15%	116.58%
Dec 15 17:01:40 	102.7MiB / 1.952GiB	5.14%	65.05%
Dec 15 17:01:42 	102.6MiB / 1.952GiB	5.14%	71.09%
Dec 15 17:01:44 	95.99MiB / 1.952GiB	4.80%	83.77%
Dec 15 17:01:46 	95.93MiB / 1.952GiB	4.80%	69.65%
Dec 15 17:01:48 	95.41MiB / 1.952GiB	4.77%	88.10%
Dec 15 17:01:50 	95.41MiB / 1.952GiB	4.77%	76.16%
Dec 15 17:01:52 	96.23MiB / 1.952GiB	4.81%	4.29%
Dec 15 17:01:55 	97.66MiB / 1.952GiB	4.89%	35.13%
Dec 15 17:01:57 	97.29MiB / 1.952GiB	4.87%	20.51%
Dec 15 17:01:59 	97.4MiB / 1.952GiB	4.87%	84.41%
Dec 15 17:02:01 	100.4MiB / 1.952GiB	5.02%	92.70%
Dec 15 17:02:03 	99.23MiB / 1.952GiB	4.96%	79.17%
Dec 15 17:02:05 	98.96MiB / 1.952GiB	4.95%	92.26%
Dec 15 17:02:07 	100.5MiB / 1.952GiB	5.03%	82.76%
Dec 15 17:02:09 	99.33MiB / 1.952GiB	4.97%	82.18%
Dec 15 17:02:11 	100.8MiB / 1.952GiB	5.04%	80.58%
Dec 15 17:02:13 	104.5MiB / 1.952GiB	5.23%	30.67%
Dec 15 17:02:16 	103.7MiB / 1.952GiB	5.19%	59.26%
Dec 15 17:02:18 	105.1MiB / 1.952GiB	5.26%	77.29%
Dec 15 17:02:20 	105.3MiB / 1.952GiB	5.27%	70.75%
Dec 15 17:02:22 	107.4MiB / 1.952GiB	5.37%	84.87%
Dec 15 17:02:24 	105.2MiB / 1.952GiB	5.26%	73.08%
Dec 15 17:02:26 	105.6MiB / 1.952GiB	5.28%	65.55%
Dec 15 17:02:28 	105.6MiB / 1.952GiB	5.28%	67.32%
Dec 15 17:02:30 	105.8MiB / 1.952GiB	5.29%	75.91%
Dec 15 17:02:32 	106.2MiB / 1.952GiB	5.31%	10.31%
Dec 15 17:02:34 	105.9MiB / 1.952GiB	5.30%	53.94%
Dec 15 17:02:36 	107.1MiB / 1.952GiB	5.36%	79.26%
Dec 15 17:02:39 	107.8MiB / 1.952GiB	5.39%	80.74%
Dec 15 17:02:41 	108.7MiB / 1.952GiB	5.44%	81.96%
Dec 15 17:02:43 	109.3MiB / 1.952GiB	5.47%	85.46%
Dec 15 17:02:45 	108.9MiB / 1.952GiB	5.45%	90.61%
Dec 15 17:02:47 	109.1MiB / 1.952GiB	5.46%	92.97%
Dec 15 17:02:49 	109.3MiB / 1.952GiB	5.47%	0.83%
Dec 15 17:02:51 	112.8MiB / 1.952GiB	5.64%	96.89%
Dec 15 17:02:53 	109MiB / 1.952GiB	5.45%	72.79%
Dec 15 17:02:55 	109MiB / 1.952GiB	5.46%	86.16%
Dec 15 17:02:57 	108MiB / 1.952GiB	5.40%	76.52%
Dec 15 17:03:00 	107.6MiB / 1.952GiB	5.38%	95.50%
Dec 15 17:03:02 	107.8MiB / 1.952GiB	5.39%	78.92%
Dec 15 17:03:04 	106.9MiB / 1.952GiB	5.35%	76.55%
Dec 15 17:03:06 	107MiB / 1.952GiB	5.35%	1.17%
Dec 15 17:03:08 	107.1MiB / 1.952GiB	5.36%	2.24%
Dec 15 17:03:10 	108.9MiB / 1.952GiB	5.45%	74.74%
Dec 15 17:03:12 	109.8MiB / 1.952GiB	5.49%	84.55%
Dec 15 17:03:14 	107.7MiB / 1.952GiB	5.39%	80.30%
Dec 15 17:03:16 	108MiB / 1.952GiB	5.41%	79.24%
Dec 15 17:03:18 	109MiB / 1.952GiB	5.45%	68.52%
Dec 15 17:03:21 	109.2MiB / 1.952GiB	5.46%	70.09%
Dec 15 17:03:23 	109.6MiB / 1.952GiB	5.48%	89.90%
Dec 15 17:03:25 	109.7MiB / 1.952GiB	5.49%	1.26%
Dec 15 17:03:27 	110.8MiB / 1.952GiB	5.54%	81.29%
Dec 15 17:03:29 	110MiB / 1.952GiB	5.50%	19.92%
Dec 15 17:03:31 	110MiB / 1.952GiB	5.51%	67.07%
Dec 15 17:03:33 	110.2MiB / 1.952GiB	5.51%	71.24%
Dec 15 17:03:36 	110.6MiB / 1.952GiB	5.53%	81.31%
Dec 15 17:03:38 	110.5MiB / 1.952GiB	5.53%	70.79%
Dec 15 17:03:40 	111.9MiB / 1.952GiB	5.60%	71.09%
Dec 15 17:03:42 	111.9MiB / 1.952GiB	5.60%	80.24%
Dec 15 17:03:44 	111.7MiB / 1.952GiB	5.59%	68.30%
Dec 15 17:03:46 	112.1MiB / 1.952GiB	5.61%	10.04%
Dec 15 17:03:48 	110.6MiB / 1.952GiB	5.53%	78.01%
Dec 15 17:03:50 	110.7MiB / 1.952GiB	5.54%	85.28%
Dec 15 17:03:52 	110.7MiB / 1.952GiB	5.54%	80.36%
Dec 15 17:03:55 	110.7MiB / 1.952GiB	5.54%	72.62%
Dec 15 17:03:57 	110.6MiB / 1.952GiB	5.53%	77.88%
Dec 15 17:03:59 	110.7MiB / 1.952GiB	5.54%	85.46%
Dec 15 17:04:01 	110.8MiB / 1.952GiB	5.54%	83.54%
Dec 15 17:04:03 	110.9MiB / 1.952GiB	5.55%	74.89%
Dec 15 17:04:05 	111MiB / 1.952GiB	5.56%	21.60%
Dec 15 17:04:07 	113.4MiB / 1.952GiB	5.67%	43.86%
Dec 15 17:04:09 	112.8MiB / 1.952GiB	5.65%	75.14%
Dec 15 17:04:12 	112.9MiB / 1.952GiB	5.65%	68.83%
Dec 15 17:04:14 	112.9MiB / 1.952GiB	5.65%	76.40%
Dec 15 17:04:16 	113.1MiB / 1.952GiB	5.66%	67.80%
Dec 15 17:04:18 	113.1MiB / 1.952GiB	5.66%	81.79%
Dec 15 17:04:20 	113.1MiB / 1.952GiB	5.66%	86.52%
Dec 15 17:04:22 	113.2MiB / 1.952GiB	5.66%	74.37%
Dec 15 17:04:24 	113.1MiB / 1.952GiB	5.66%	1.12%
Dec 15 17:04:26 	111.5MiB / 1.952GiB	5.58%	1.34%
Dec 15 17:04:29 	111.7MiB / 1.952GiB	5.59%	79.29%
Dec 15 17:04:31 	110.6MiB / 1.952GiB	5.53%	78.66%
Dec 15 17:04:33 	110.6MiB / 1.952GiB	5.53%	81.58%
Dec 15 17:04:35 	110.7MiB / 1.952GiB	5.54%	81.88%
Dec 15 17:04:37 	110.6MiB / 1.952GiB	5.53%	92.60%
Dec 15 17:04:39 	110.6MiB / 1.952GiB	5.54%	76.73%
Dec 15 17:04:41 	110.6MiB / 1.952GiB	5.54%	74.64%
Dec 15 17:04:43 	111.1MiB / 1.952GiB	5.56%	6.13%
Dec 15 17:04:45 	110.9MiB / 1.952GiB	5.55%	57.57%
Dec 15 17:04:48 	111.8MiB / 1.952GiB	5.59%	79.44%
Dec 15 17:04:50 	112.1MiB / 1.952GiB	5.61%	85.19%
Dec 15 17:04:52 	112.1MiB / 1.952GiB	5.61%	85.64%
Dec 15 17:04:54 	112.1MiB / 1.952GiB	5.61%	85.82%
Dec 15 17:04:56 	111.8MiB / 1.952GiB	5.59%	80.51%
Dec 15 17:04:58 	111.9MiB / 1.952GiB	5.60%	68.49%
Dec 15 17:05:00 	111.9MiB / 1.952GiB	5.60%	54.47%
Dec 15 17:05:02 	112.1MiB / 1.952GiB	5.61%	1.22%
Dec 15 17:05:04 	111.8MiB / 1.952GiB	5.60%	88.54%
Dec 15 17:05:07 	112MiB / 1.952GiB	5.60%	86.12%
Dec 15 17:05:09 	111.9MiB / 1.952GiB	5.60%	87.51%
Dec 15 17:05:11 	112MiB / 1.952GiB	5.60%	86.01%
Dec 15 17:05:13 	111.9MiB / 1.952GiB	5.60%	78.53%
Dec 15 17:05:15 	111.5MiB / 1.952GiB	5.58%	70.51%
Dec 15 17:05:17 	111.5MiB / 1.952GiB	5.58%	68.23%
Dec 15 17:05:19 	111.8MiB / 1.952GiB	5.59%	1.08%
Dec 15 17:05:21 	121.6MiB / 1.952GiB	6.08%	132.29%
Dec 15 17:05:23 	115.2MiB / 1.952GiB	5.76%	78.80%
Dec 15 17:05:26 	115MiB / 1.952GiB	5.75%	85.79%
Dec 15 17:05:28 	115MiB / 1.952GiB	5.75%	90.38%
Dec 15 17:05:30 	115MiB / 1.952GiB	5.75%	83.09%
Dec 15 17:05:32 	115MiB / 1.952GiB	5.75%	82.65%
Dec 15 17:05:34 	114MiB / 1.952GiB	5.70%	82.76%
Dec 15 17:05:36 	114.5MiB / 1.952GiB	5.73%	21.50%
Dec 15 17:05:38 	116MiB / 1.952GiB	5.80%	62.02%
Dec 15 17:05:40 	138.9MiB / 1.952GiB	6.95%	32.40%
Dec 15 17:05:42 	143.3MiB / 1.952GiB	7.17%	58.57%
Dec 15 17:05:45 	157.1MiB / 1.952GiB	7.86%	137.00%
Dec 15 17:05:47 	160.3MiB / 1.952GiB	8.02%	104.69%
Dec 15 17:05:49 	159.5MiB / 1.952GiB	7.98%	52.60%
Dec 15 17:05:51 	162.4MiB / 1.952GiB	8.12%	34.69%
Dec 15 17:05:53 	157.1MiB / 1.952GiB	7.86%	32.36%
Dec 15 17:05:55 	162.1MiB / 1.952GiB	8.11%	34.13%
Dec 15 17:05:57 	160.5MiB / 1.952GiB	8.03%	83.61%
Dec 15 17:05:59 	169MiB / 1.952GiB	8.46%	52.31%
Dec 15 17:06:01 	171.2MiB / 1.952GiB	8.56%	113.75%
Dec 15 17:06:03 	167.6MiB / 1.952GiB	8.38%	33.39%
Dec 15 17:06:06 	167MiB / 1.952GiB	8.36%	30.36%
Dec 15 17:06:08 	165.1MiB / 1.952GiB	8.26%	31.43%
Dec 15 17:06:10 	163.5MiB / 1.952GiB	8.18%	52.89%
